"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"SEL","SITARA ENERGY LIMITED","2,074.00"," 35,378.45 ","2,074.00"," 35,378.45 ","100.00 ","100.00 "
"SEPL","SECURITY PAPERS LIMITED","21,870.00"," 3,775,677.92 ","20,773.00"," 3,586,860.46 ","94.98 ","95.00 "
"SERT","SERVICE INDUSTRIES TEXTILES LIMITED","287,431.00"," 20,381,391.82 ","53,930.00"," 3,837,735.72 ","18.76 ","18.83 "
"SFL","SAPPHIRE FIBRES LIMITED","1,598.00"," 2,229,456.94 ","1,423.00"," 1,990,758.38 ","89.05 ","89.29 "
"SGF","SERVICE GLOBAL FOOTWEAR LIMITED","109,776.00"," 9,692,396.32 ","97,014.00"," 8,554,538.00 ","88.37 ","88.26 "
"SGPL","S.G. POWER LIMITED","289,975.00"," 3,519,187.74 ","276,323.00"," 3,353,097.92 ","95.29 ","95.28 "
"SHCM","SHADMAN COTTON MILLS LIMITED","1,398.00"," 65,810.59 ","1,396.00"," 65,713.71 ","99.86 ","99.85 "
"SHDT","SHADAB TEXTILE MILLS LIMITED","24,881.00"," 1,337,513.24 ","24,771.00"," 1,331,519.19 ","99.56 ","99.55 "
"SHEZ","SHEZAN INTERNATIONAL LIMITED","3,383.00"," 886,259.43 ","2,880.00"," 755,485.04 ","85.13 ","85.24 "
"SHFA","SHIFA INTERNATIONAL HOSPITALS LTD.","50,634.00"," 27,885,344.79 ","46,613.00"," 25,691,430.21 ","92.06 ","92.13 "
"SHJS","SHAHTAJ SUGAR MILLS LIMITED","1,551.00"," 248,800.54 ","1,530.00"," 245,363.94 ","98.65 ","98.62 "
"SHNI","SHAHEEN INSURANCE COMPANY LIMITED","1,251,656.00"," 12,974,478.89 ","915,903.00"," 9,613,868.26 ","73.18 ","74.10 "
"SHSML","SHAHMURAD SUGAR MILLS LIMITED","6,309.00"," 2,813,197.11 ","6,207.00"," 2,768,269.80 ","98.38 ","98.40 "
"SIBL","SECURITY INVESTMENT BANK LIMITED","10,412.00"," 100,109.94 ","9,242.00"," 88,663.50 ","88.76 ","88.57 "
"SINDM","SINDH MODARABA","1,666.00"," 29,664.10 ","1,666.00"," 29,664.10 ","100.00 ","100.00 "
"SITC","SITARA CHEMICAL INDUSTRIES LIMITED","10,664.00"," 9,376,136.09 ","9,004.00"," 7,904,377.04 ","84.43 ","84.30 "
"SKRS","SAKRAND SUGAR MILLS LIMITED","47,307.00"," 1,024,020.99 ","41,709.00"," 903,418.35 ","88.17 ","88.22 "
"SLGL","SECURE LOGISTICS-TRAX GROUP LIMITED","12,314,667.00"," 267,854,664.32 ","6,295,381.00"," 137,513,757.30 ","51.12 ","51.34 "
"SLYT","SALLY TEXTILE MILLS LIMITED","2,592.00"," 34,818.48 ","1,765.00"," 23,644.63 ","68.09 ","67.91 "
"SMCPL","SAFE MIX CONCRETE LIMITED","1,541,373.00"," 66,854,825.11 ","562,443.00"," 24,682,731.18 ","36.49 ","36.92 "
"SML","SHAKARGANJ LIMITED","6,019.00"," 391,247.04 ","6,019.00"," 391,247.04 ","100.00 ","100.00 "
"SNAI","SANA INDUSTRIES LIMITED","7,604.00"," 217,912.31 ","5,400.00"," 154,458.79 ","71.02 ","70.88 "
"SNBL","SONERI BANK LIMITED","6,851,589.00"," 187,625,772.24 ","3,812,981.00"," 104,372,915.26 ","55.65 ","55.63 "
