Symbol,Date,Trade Volume,Trade Value,UIN Settlement Volume,UIN Settlement Value,UIN % Volume,UIN % Value
INKL,2025-11-30,19440.0,1473548.03,16372.0,1253419.68,84.21810699588478,85.06133865212388
IPAK,2025-11-30,359214.0,8932977.06,319912.0,7956562.56,89.05888968692757,89.06955101931045
IREIT,2025-11-30,1041142.0,10228173.34,936760.0,9201032.18,89.97427824446618,89.95772631283936
ISIL,2025-11-30,5.0,9924.0,3.0,6054.0,60.0,61.00362756952842
ISL,2025-11-30,1432774.0,122442977.09,829566.0,73263773.61,57.899291863196844,59.83501491976014
ITTEFAQ,2025-11-30,596499.0,5527194.73,496094.0,4600012.24,83.16761637488077,83.22508007601895
JATM,2025-11-30,2.0,45.67,2.0,45.67,100.0,100.0
JDMT,2025-11-30,10925.0,1292067.5,1775.0,209895.0,16.247139588100687,16.24489432634131
JDWS,2025-11-30,182.0,146541.07,181.0,145740.96,99.45054945054946,99.45400289488809
JGICL,2025-11-30,6193.0,497719.01,6062.0,487194.96,97.88470854190214,97.8855438935314
JKSM,2025-11-30,8.0,1426.0,8.0,1426.0,100.0,100.0
JLICL,2025-11-30,2940.0,484810.65,2585.0,427235.51,87.92517006802721,88.12420065442043
JSBL,2025-11-30,63716.0,1241755.25,59883.0,1166363.02,93.98424257643292,93.92857569959942
JSCL,2025-11-30,277965.0,6773011.92,228854.0,5580422.13,82.33194826686812,82.3920317270016
JSCLPSA,2025-11-30,20550.0,205468.5,20550.0,205468.5,100.0,100.0
JSGBETF,2025-11-30,31000.0,1294855.0,23000.0,962010.0,74.19354838709677,74.29480520984976
JSGCL,2025-11-30,1497.0,216258.75,303.0,41722.04,20.240480961923847,19.292648274347282
JSIL,2025-11-30,2014132.0,80569198.69,2013251.0,80532714.69,99.95625907338744,99.95471718647671
JSMFETF,2025-11-30,799500.0,9524265.0,777500.0,9260515.0,97.24828017510944,97.23075743902548
JSML,2025-11-30,45767.0,2492238.45,40011.0,2181086.6,87.42325256188957,87.51516533259488
JUBS,2025-11-30,3273.0,69262.2,3143.0,66523.4,96.02810876871372,96.04575078469931
JVDC,2025-11-30,415837.0,30193318.26,108810.0,7859220.29,26.166502740256398,26.02966730030421
KAPCO,2025-11-30,842124.0,25551455.32,791378.0,24015505.36,93.97404657746365,93.98879656456296
KCL,2025-11-30,107.0,18911.69,98.0,17408.69,91.58878504672897,92.05253470208109
KEL,2025-11-30,98254957.0,488988598.19,52267819.0,272119473.33,53.196114064759094,55.649451610376
KHTC,2025-11-30,23096.0,8270858.64,11913.0,4241679.82,51.58036023553863,51.284636875380095
KML,2025-11-30,2207447.0,31930078.91,1934692.0,27986362.35,87.64387095137505,87.64889817179598
KOHC,2025-11-30,214229.0,20206599.88,186450.0,17590881.25,87.03303474319537,87.0551273072469
KOHE,2025-11-30,228151.0,3920265.39,205726.0,3535892.87,90.17098325231973,90.1952423685275
KOHP,2025-11-30,51950.0,2137389.0,43796.0,1804665.21,84.3041385948027,84.4331663539019
KOHTM,2025-11-30,70442.0,4109955.7,65233.0,3805492.92,92.60526390505665,92.5920666249517
KOIL,2025-11-30,1317625.0,91179205.25,960088.0,66595422.97,72.86504126743193,73.03795068996831
KOSM,2025-11-30,18280480.0,130468619.51,11848881.0,84518712.49,64.81712186988526,64.78087436459916
KPUS,2025-11-30,5419.0,713832.09,5294.0,697361.75,97.69330134711201,97.69268708555818
KSBP,2025-11-30,20844.0,4092907.67,14859.0,2922320.67,71.286701208981,71.39962358349511
KSTM,2025-11-30,347467.0,3463968.41,252721.0,2531267.79,72.73237458521241,73.07421692104865
KTML,2025-11-30,262302.0,12721583.32,241014.0,11682651.97,91.88416405517304,91.8333172540979
LCI,2025-11-30,81924.0,25062751.62,80111.0,24507921.39,97.78697329231971,97.78623577166505
LEUL,2025-11-30,1856.0,85490.21,1701.0,78054.59,91.64870689655173,91.3023725172742
LIVEN,2025-11-30,127015.0,7186657.78,113053.0,6404670.3,89.00759752785105,89.1188991609393
LOADS,2025-11-30,20846194.0,398785377.95,10865067.0,209613778.95,52.12014720768693,52.56305535261665
LOTCHEM,2025-11-30,2834550.0,67758069.33,1498502.0,38103277.37,52.86560476971653,56.234302049585864
LPGL,2025-11-30,353.0,33155.75,353.0,33155.75,100.0,100.0
LPL,2025-11-30,442957.0,11812501.45,403277.0,10753267.76,91.0420198800335,91.03294340759636
LSECL,2025-11-30,1340944.0,11288184.84,1158802.0,9742099.44,86.41688243506067,86.30350741138288
LSEFSL,2025-11-30,4854.0,113399.41,3614.0,83947.01,74.45405850844664,74.02773083210926
LSEVL,2025-11-30,4059494.0,33365940.16,2993204.0,24627270.61,73.73342589002472,73.80961091431747
